crate,test,error_type,error_text,error_subtext
c-closures,tests::bad_ref_usage,memory leaked,"alloc27123 (Allocated for interop between LLI and Miri, size","0, align"
mseed,record::tests::test_parse_signal_mseed2,Undefined Behavior,"attempting a read access using <100045> at alloc28671[0x0], but that tag does not exist in the borrow stack for this location",NA
tarantool,decimal::test::ops,Undefined Behavior,"attempting a read access using <100564> at alloc396[0x0], but that tag does not exist in the borrow stack for this location",NA
twmap,tileflags_ddnet_dir,Undefined Behavior,"attempting a read access using <10087006> at alloc2703625[0x8], but that tag does not exist in the borrow stack for this location",NA
zip,end_to_end,Undefined Behavior,"attempting a read access using <1030013> at alloc240772[0x8], but that tag does not exist in the borrow stack for this location",NA
rsofa,tests::test_ab,Undefined Behavior,"attempting a read access using <107683> at alloc28770[0x8], but that tag does not exist in the borrow stack for this location",NA
rsofa,tests::test_tr,Undefined Behavior,"attempting a read access using <107686> at alloc28773[0x18], but that tag does not exist in the borrow stack for this location",NA
rsofa,tests::test_trxpv,Undefined Behavior,"attempting a read access using <107903> at alloc28848[0x18], but that tag does not exist in the borrow stack for this location",NA
rsofa,tests::test_trxp,Undefined Behavior,"attempting a read access using <107905> at alloc28847[0x18], but that tag does not exist in the borrow stack for this location",NA
rsofa,tests::test_apcg,Undefined Behavior,"attempting a read access using <107913> at alloc28846[0x18], but that tag does not exist in the borrow stack for this location",NA
n5,compression::bzip::tests::test_rw,Undefined Behavior,"attempting a read access using <110115> at alloc30153[0x8], but that tag does not exist in the borrow stack for this location",NA
bzip2,read::tests::qc,Undefined Behavior,"attempting a read access using <111682> at alloc29046[0x8], but that tag does not exist in the borrow stack for this location",NA
dec,decnum_round_reduce_to_place,Undefined Behavior,"attempting a read access using <113110> at alloc30961[0x8], but that tag does not exist in the borrow stack for this location",NA
dec,decnum_round_to_place,Undefined Behavior,"attempting a read access using <113302> at alloc31083[0x8], but that tag does not exist in the borrow stack for this location",NA
bzip2,write::tests::qc,Undefined Behavior,"attempting a read access using <113305> at alloc29307[0x8], but that tag does not exist in the borrow stack for this location",NA
dec,test_decnum_coefficient,Undefined Behavior,"attempting a read access using <113536> at alloc31194[0x8], but that tag does not exist in the borrow stack for this location",NA
dec,test_decnum_tryinto_primitive,Undefined Behavior,"attempting a read access using <113864> at alloc31417[0x8], but that tag does not exist in the borrow stack for this location",NA
dec,test_cx_into_u64,Undefined Behavior,"attempting a read access using <113926> at alloc31357[0x8], but that tag does not exist in the borrow stack for this location",NA
dec,test_decimal64_special_value_coefficient,Undefined Behavior,"attempting a read access using <114069> at alloc32024[0x0], but that tag does not exist in the borrow stack for this location",NA
dec,test_cx_into_u128,Undefined Behavior,"attempting a read access using <114137> at alloc31536[0x8], but that tag does not exist in the borrow stack for this location",NA
dec,test_agg_wide_narrow_decnum,Undefined Behavior,"attempting a read access using <114340> at alloc31604[0x8], but that tag does not exist in the borrow stack for this location",NA
dec,test_u128_to_decimal,Undefined Behavior,"attempting a read access using <114642> at alloc31720[0x8], but that tag does not exist in the borrow stack for this location",NA
dec,test_cx_into_i128,Undefined Behavior,"attempting a read access using <114805> at alloc31843[0x8], but that tag does not exist in the borrow stack for this location",NA
dec,test_i128_to_decimal,Undefined Behavior,"attempting a read access using <114915> at alloc31869[0x8], but that tag does not exist in the borrow stack for this location",NA
dec,test_cx_into_i64,Undefined Behavior,"attempting a read access using <115671> at alloc32262[0x8], but that tag does not exist in the borrow stack for this location",NA
dec,test_decimal128_special_value_coefficient,Undefined Behavior,"attempting a read access using <115865> at alloc33629[0x0], but that tag does not exist in the borrow stack for this location",NA
dec,test_u64_to_decimal,Undefined Behavior,"attempting a read access using <115925> at alloc32150[0x8], but that tag does not exist in the borrow stack for this location",NA
dec,test_i64_to_decimal,Undefined Behavior,"attempting a read access using <115950> at alloc32161[0x8], but that tag does not exist in the borrow stack for this location",NA
dec,test_standard_notation_decimal,Undefined Behavior,"attempting a read access using <117732> at alloc32553[0x8], but that tag does not exist in the borrow stack for this location",NA
xyz,writing,Undefined Behavior,"attempting a read access using <127871> at alloc32269[0x18], but that tag does not exist in the borrow stack for this location",NA
zip,copy,Undefined Behavior,"attempting a read access using <1313995> at alloc300401[0x8], but that tag does not exist in the borrow stack for this location",NA
flatarchive,compression::bzip::tests::test_decompress,Undefined Behavior,"attempting a read access using <133750> at alloc35786[0x8], but that tag does not exist in the borrow stack for this location",NA
twmap,custom_test_teeworlds07,Undefined Behavior,"attempting a read access using <134935> at alloc39504[0x8], but that tag does not exist in the borrow stack for this location",NA
phar,test_mixed,Undefined Behavior,"attempting a read access using <204564> at alloc51254[0x8], but that tag does not exist in the borrow stack for this location",NA
libwebp,decode::tests::test_incr_argb,Undefined Behavior,"attempting a read access using <219529> at alloc41508[0x1], but that tag does not exist in the borrow stack for this location",NA
libwebp,decode::tests::test_incr_yuva,Undefined Behavior,"attempting a read access using <219533> at alloc41525[0x1], but that tag does not exist in the borrow stack for this location",NA
bzip2,write::tests::qc_partial,Undefined Behavior,"attempting a read access using <240465> at alloc58686[0x8], but that tag does not exist in the borrow stack for this location",NA
bzip2,read::tests::qc_partial,Undefined Behavior,"attempting a read access using <242896> at alloc59171[0x8], but that tag does not exist in the borrow stack for this location",NA
twmap,editor_map_bin_eq,Undefined Behavior,"attempting a read access using <246118> at alloc80224[0x8], but that tag does not exist in the borrow stack for this location",NA
everrs,chacha20poly1305::tests::seal_test_inplace,Undefined Behavior,"attempting a read access using <273030> at alloc71193[0x0], but that tag does not exist in the borrow stack for this location",NA
twmap,dm1_test,Undefined Behavior,"attempting a read access using <289254> at alloc108633[0x8], but that tag does not exist in the borrow stack for this location",NA
twmap,editor_dir,Undefined Behavior,"attempting a read access using <3696576> at alloc954244[0x8], but that tag does not exist in the borrow stack for this location",NA
twmap,custom_test_ddnet,Undefined Behavior,"attempting a read access using <3700872> at alloc886339[0x8], but that tag does not exist in the borrow stack for this location",NA
twmap,editor_test,Undefined Behavior,"attempting a read access using <3708672> at alloc958767[0x8], but that tag does not exist in the borrow stack for this location",NA
mindus,data::schematic::test::ser_de,Undefined Behavior,"attempting a read access using <496789> at alloc276557[0x8], but that tag does not exist in the borrow stack for this location",NA
valley-free,tests::propagate,Undefined Behavior,"attempting a read access using <95043> at alloc25546[0x8], but that tag does not exist in the borrow stack for this location",NA
zipcodes,tests::should_return_no_zipcodes,Undefined Behavior,"attempting a read access using <95391> at alloc25411[0x8], but that tag does not exist in the borrow stack for this location",NA
zipcodes,tests::should_find_real_zipcodes,Undefined Behavior,"attempting a read access using <95993> at alloc25599[0x8], but that tag does not exist in the borrow stack for this location",NA
smile,base64::test::encode,Undefined Behavior,"attempting a read access using <96254> at alloc25563[0x1], but that tag does not exist in the borrow stack for this location",NA
mozjpeg,compress::write_mem,Undefined Behavior,"attempting a read access using <97111> at alloc26290[0x20], but that tag does not exist in the borrow stack for this location",NA
twmap,minimal,Undefined Behavior,"attempting a read access using <97841> at alloc26431[0x8], but that tag does not exist in the borrow stack for this location",NA
bzip2,write::tests::write_empty,Undefined Behavior,"attempting a read access using <98831> at alloc26203[0x8], but that tag does not exist in the borrow stack for this location",NA
bzip2,read::tests::zero_length_read_at_eof,Undefined Behavior,"attempting a read access using <99345> at alloc26417[0x8], but that tag does not exist in the borrow stack for this location",NA
bzip2,read::tests::smoke,Undefined Behavior,"attempting a read access using <99486> at alloc26389[0x8], but that tag does not exist in the borrow stack for this location",NA
bzip2,read::tests::smoke3,Undefined Behavior,"attempting a read access using <99574> at alloc26427[0x8], but that tag does not exist in the borrow stack for this location",NA
bzip2,read::tests::empty,Undefined Behavior,"attempting a read access using <99600> at alloc26419[0x8], but that tag does not exist in the borrow stack for this location",NA
bzip2,write::tests::smoke,Undefined Behavior,"attempting a read access using <99633> at alloc26462[0x8], but that tag does not exist in the borrow stack for this location",NA
bzip2,read::tests::smoke2,Undefined Behavior,"attempting a read access using <99667> at alloc26441[0x8], but that tag does not exist in the borrow stack for this location",NA
bzip2,read::tests::multistream_read_till_eof,Undefined Behavior,"attempting a read access using <99673> at alloc26486[0x8], but that tag does not exist in the borrow stack for this location",NA
bzip2,read::tests::zero_length_read_with_data,Undefined Behavior,"attempting a read access using <99674> at alloc26487[0x8], but that tag does not exist in the borrow stack for this location",NA
bzip2,read::tests::self_terminating,Undefined Behavior,"attempting a read access using <99766> at alloc26525[0x8], but that tag does not exist in the borrow stack for this location",NA
tarantool,decimal::test::to_num,Undefined Behavior,"attempting a read access using <99929> at alloc396[0x0], but that tag does not exist in the borrow stack for this location",NA
tarantool,decimal::test::hash,Undefined Behavior,"attempting a read access using <99934> at alloc396[0x0], but that tag does not exist in the borrow stack for this location",NA
mseed,record::tests::test_parse_signal_mseed3,Undefined Behavior,"attempting a read access using <99949> at alloc28644[0x0], but that tag does not exist in the borrow stack for this location",NA
molconv,xdr::c_abi::xdrfile_trr::tests::test_read_trr_nframes,Undefined Behavior,"attempting a write access using <101315> at alloc27005[0x0], but that tag only grants SharedReadOnly permission for this location",NA
picohttpparser-sys,incomplete_1,Undefined Behavior,"attempting a write access using <102623> at alloc27046[0x98], but that tag does not exist in the borrow stack for this location",NA
picohttpparser-sys,incomplete_8,Undefined Behavior,"attempting a write access using <102628> at alloc27046[0x98], but that tag does not exist in the borrow stack for this location",NA
picohttpparser-sys,no_status_code,Undefined Behavior,"attempting a write access using <102707> at alloc27091[0x98], but that tag does not exist in the borrow stack for this location",NA
picohttpparser-sys,incomplete_10,Undefined Behavior,"attempting a write access using <102708> at alloc27086[0x98], but that tag does not exist in the borrow stack for this location",NA
picohttpparser-sys,internal_server_error,Undefined Behavior,"attempting a write access using <102718> at alloc27087[0x98], but that tag does not exist in the borrow stack for this location",NA
picohttpparser-sys,invalid_http_version,Undefined Behavior,"attempting a write access using <102723> at alloc27086[0x98], but that tag does not exist in the borrow stack for this location",NA
picohttpparser-sys,slowloris_incomplete,Undefined Behavior,"attempting a write access using <102728> at alloc27087[0x98], but that tag does not exist in the borrow stack for this location",NA
picohttpparser-sys,invalid_http_version_2,Undefined Behavior,"attempting a write access using <102812> at alloc27139[0x98], but that tag does not exist in the borrow stack for this location",NA
picohttpparser-sys,incomplete_2,Undefined Behavior,"attempting a write access using <102817> at alloc27150[0x98], but that tag does not exist in the borrow stack for this location",NA
xdrfile,c_abi::xdrfile_trr::tests::test_read_trr_nframes,Undefined Behavior,"attempting a write access using <105759> at alloc28269[0x0], but that tag only grants SharedReadOnly permission for this location",NA
littlefs2,tests::format,Undefined Behavior,"attempting a write access using <105919> at alloc29060[0x70], but that tag does not exist in the borrow stack for this location",NA
littlefs2,tests::test_fs_with,Undefined Behavior,"attempting a write access using <105934> at alloc29052[0x70], but that tag does not exist in the borrow stack for this location",NA
littlefs2,tests::test_seek,Undefined Behavior,"attempting a write access using <105935> at alloc29056[0x70], but that tag does not exist in the borrow stack for this location",NA
littlefs2,tests::test_create,Undefined Behavior,"attempting a write access using <105948> at alloc29051[0x70], but that tag does not exist in the borrow stack for this location",NA
littlefs2,tests::borrow_fs_allocation3,Undefined Behavior,"attempting a write access using <106037> at alloc29090[0x70], but that tag does not exist in the borrow stack for this location",NA
littlefs2,tests::test_file_set_len,Undefined Behavior,"attempting a write access using <106071> at alloc29106[0x70], but that tag does not exist in the borrow stack for this location",NA
rsofa,tests::test_zp,Undefined Behavior,"attempting a write access using <107681> at alloc28770[0x8], but that tag does not exist in the borrow stack for this location",NA
rsofa,tests::test_pv,Undefined Behavior,"attempting a write access using <107683> at alloc28772[0x18], but that tag does not exist in the borrow stack for this location",NA
rsofa,tests::test_zr,Undefined Behavior,"attempting a write access using <107684> at alloc28773[0x18], but that tag does not exist in the borrow stack for this location",NA
littlefs2,tests::borrow_fs_allocation,Undefined Behavior,"attempting a write access using <108443> at alloc29874[0x70], but that tag does not exist in the borrow stack for this location",NA
littlefs2,tests::borrow_fs_allocation2,Undefined Behavior,"attempting a write access using <108502> at alloc29888[0x70], but that tag does not exist in the borrow stack for this location",NA
dec-number-sys,test_dec_quad_get_coefficient,Undefined Behavior,"attempting a write access using <113423> at alloc30315[0x0], but that tag only grants SharedReadOnly permission for this location",NA
lsmlite-rs,threads::tests::create_background_thread_checkpointer,Undefined Behavior,"attempting a write access using <113548> at alloc34598[0xe8], but that tag only grants SharedReadOnly permission for this location",NA
lsmlite-rs,threads::tests::create_background_thread_with_no_thread,Undefined Behavior,"attempting a write access using <113632> at alloc34625[0xe8], but that tag only grants SharedReadOnly permission for this location",NA
lsmlite-rs,threads::tests::create_background_thread_merger,Undefined Behavior,"attempting a write access using <113671> at alloc34646[0xe8], but that tag only grants SharedReadOnly permission for this location",NA
lsmlite-rs,tests::open_compressed_file_in_read_only_mode,Undefined Behavior,"attempting a write access using <114050> at alloc34809[0x0], but that tag only grants SharedReadOnly permission for this location",NA
lsmlite-rs,tests::cannot_open_with_different_compression,Undefined Behavior,"attempting a write access using <114090> at alloc34819[0x0], but that tag only grants SharedReadOnly permission for this location",NA
lsmlite-rs,tests::open_file_in_read_only_mode,Undefined Behavior,"attempting a write access using <114215> at alloc34879[0x0], but that tag only grants SharedReadOnly permission for this location",NA
lsmlite-rs,tests::lsm_multiple_writers_interlaced,Undefined Behavior,"attempting a write access using <119934> at alloc37749[0x0], but that tag only grants SharedReadOnly permission for this location",NA
lsmlite-rs,tests::lsm_no_concurrent_writers_no_background_threads,Undefined Behavior,"attempting a write access using <135442> at alloc45596[0x0], but that tag only grants SharedReadOnly permission for this location",NA
littlefs2,fs::tests::nested,Undefined Behavior,"attempting a write access using <135696> at alloc37696[0x70], but that tag does not exist in the borrow stack for this location",NA
littlefs2,fs::tests::remove_dir_all,Undefined Behavior,"attempting a write access using <135799> at alloc37755[0x70], but that tag does not exist in the borrow stack for this location",NA
littlefs2,fs::tests::open_file_with_options_and_then,Undefined Behavior,"attempting a write access using <135818> at alloc37747[0x70], but that tag does not exist in the borrow stack for this location",NA
littlefs2,fs::tests::todo,Undefined Behavior,"attempting a write access using <135852> at alloc37747[0x70], but that tag does not exist in the borrow stack for this location",NA
littlefs2,tests::test_unbind,Undefined Behavior,"attempting a write access using <147829> at alloc41224[0xf0], but that tag does not exist in the borrow stack for this location",NA
littlefs2,tests::attributes,Undefined Behavior,"attempting a write access using <147831> at alloc41234[0xf0], but that tag does not exist in the borrow stack for this location",NA
littlefs2,tests::test_iter_dirs,Undefined Behavior,"attempting a write access using <147953> at alloc41283[0xf0], but that tag does not exist in the borrow stack for this location",NA
littlefs2,tests::test_fancy_open,Undefined Behavior,"attempting a write access using <147957> at alloc41284[0xf0], but that tag does not exist in the borrow stack for this location",NA
lsmlite-rs,tests::lsm_open_close_multiple_times,Undefined Behavior,"attempting a write access using <151496> at alloc48271[0x0], but that tag only grants SharedReadOnly permission for this location",NA
lsmlite-rs,tests::can_work_with_empty_metrics_with_background_checkpointer,Undefined Behavior,"attempting a write access using <153074> at alloc48629[0x0], but that tag only grants SharedReadOnly permission for this location",NA
lsmlite-rs,tests::can_work_with_empty_metrics_no_background_threads,Undefined Behavior,"attempting a write access using <153100> at alloc48623[0x0], but that tag only grants SharedReadOnly permission for this location",NA
lsmlite-rs,tests::can_work_with_empty_metrics_with_background_merger,Undefined Behavior,"attempting a write access using <153126> at alloc48625[0x0], but that tag only grants SharedReadOnly permission for this location",NA
lsmlite-rs,tests::lsm_bg_checkpointer_and_merger_in_one,Undefined Behavior,"attempting a write access using <157077> at alloc51066[0x0], but that tag only grants SharedReadOnly permission for this location",NA
lsmlite-rs,tests::lsm_bg_checkpointer_only,Undefined Behavior,"attempting a write access using <157110> at alloc51072[0x0], but that tag only grants SharedReadOnly permission for this location",NA
lsmlite-rs,tests::transactions_rollback,Undefined Behavior,"attempting a write access using <157131> at alloc51082[0x0], but that tag only grants SharedReadOnly permission for this location",NA
lsmlite-rs,tests::lsm_cursor_automatic_drop,Undefined Behavior,"attempting a write access using <157134> at alloc51079[0x0], but that tag only grants SharedReadOnly permission for this location",NA
lsmlite-rs,tests::transactions_commit,Undefined Behavior,"attempting a write access using <157162> at alloc51101[0x0], but that tag only grants SharedReadOnly permission for this location",NA
lsmlite-rs,tests::lsm_handle_automatic_drop,Undefined Behavior,"attempting a write access using <158628> at alloc51560[0x0], but that tag only grants SharedReadOnly permission for this location",NA
lsmlite-rs,tests::lsm_whole_rust_bindings_multiple_compressed_lz4_optimized_dbs,Undefined Behavior,"attempting a write access using <193278> at alloc63516[0x0], but that tag only grants SharedReadOnly permission for this location",NA
lsmlite-rs,tests::lsm_whole_rust_bindings_multiple_compressed_zlib_optimized_dbs,Undefined Behavior,"attempting a write access using <194353> at alloc63797[0x0], but that tag only grants SharedReadOnly permission for this location",NA
lsmlite-rs,tests::lsm_whole_rust_bindings_multiple_compressed_zstd_optimized_dbs,Undefined Behavior,"attempting a write access using <194600> at alloc63890[0x0], but that tag only grants SharedReadOnly permission for this location",NA
lsmlite-rs,tests::lsm_whole_rust_bindings_multiple_compressed_lz4_non_optimized_dbs,Undefined Behavior,"attempting a write access using <194618> at alloc63906[0x0], but that tag only grants SharedReadOnly permission for this location",NA
lsmlite-rs,tests::lsm_whole_rust_bindings_multiple_compressed_zlib_non_optimized_dbs,Undefined Behavior,"attempting a write access using <194710> at alloc63936[0x0], but that tag only grants SharedReadOnly permission for this location",NA
lsmlite-rs,tests::lsm_whole_rust_bindings_multiple_compressed_zstd_non_optimized_dbs,Undefined Behavior,"attempting a write access using <194886> at alloc64035[0x0], but that tag only grants SharedReadOnly permission for this location",NA
