error_id,crate_name,version,test_name,error_type,error_text,full_error_text,passed_in_tree_borrows
23,blake2_c,0.3.3,test::test_finalize_twice_panics_blake2b,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE
23,blake2_c,0.3.3,test::test_finalize_twice_panics_blake2s,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE
23,blake2_c,0.3.3,test::test_foo_blake2b,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE
23,blake2_c,0.3.3,test::test_foo_blake2s,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE
23,blake2_c,0.3.3,test::test_large_input_blake2b,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE
23,blake2_c,0.3.3,test::test_large_input_blake2s,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE
23,blake2_c,0.3.3,test::test_one_off_functions,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE
24,blitsort-sys,0.1.0,sort::test_sorted,Undefined Behavior,"attempting a write access using <95893> at alloc24707[0x4], but that tag only grants SharedReadOnly permission for this location","Undefined Behavior: attempting a write access using <> at alloc[0x4], but that tag only grants SharedReadOnly permission for this location",FALSE
25,blosc2-src,0.1.1,floats_roundtrip,LLI interoperation error,Unsupported LLVM Type,LLI interoperation error: Unsupported LLVM Type: <16 x i8>,FALSE
26,brioche-ducc,0.1.2-brioche,tests::array::elements,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::array::len,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::array::push,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::array::set_get,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::bytes::to_vec,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::conversion::btree_map,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::conversion::btree_set,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::conversion::hash_map,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::conversion::hash_set,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::conversion::option,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::conversion::tuple,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::conversion::variadic,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::conversion::vec,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::ducc::no_duktape_global,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::ducc::thread_data_sharing,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::ducc::thread_globals,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::ducc::timeout,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::ducc::user_data_drop,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::ducc::user_data_get,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::ducc::user_data_remove,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::ducc::value_cross_contamination,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::function::double_drop_rust_function,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::function::js_function,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::function::number_this,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::function::return_unit,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::function::rust_closure,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::function::rust_closure_mut_callback_error,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::function::rust_function,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::function::rust_function_error,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::object::call_prop,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::object::contains_key,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::object::len,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::object::properties,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::object::remove,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::object::set_get,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::string::compare,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::util::test_assert_stack,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::util::test_assert_stack_panic,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::util::test_protect_duktape_closure,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
26,brioche-ducc,0.1.2-brioche,tests::util::test_protect_duktape_closure_err,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE
28,btreec,0.3.0,tests::ascend_descend,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: null pointer is a dangling pointer (it has no provenance),FALSE
28,btreec,0.3.0,tests::basic,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: null pointer is a dangling pointer (it has no provenance),FALSE
28,btreec,0.3.0,tests::db_item,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: null pointer is a dangling pointer (it has no provenance),FALSE
28,btreec,0.3.0,tests::min_max_pop,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: null pointer is a dangling pointer (it has no provenance),FALSE
30,bzip2,0.4.4,bufread::tests::bug_61,Undefined Behavior,"attempting a read access using <102080> at alloc26406[0x8], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",FALSE
29,bzip2,0.4.4,read::tests::empty,Undefined Behavior,"attempting a read access using <101853> at alloc26304[0x8], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",FALSE
31,bzip2,0.4.4,read::tests::multistream_read_till_eof,Undefined Behavior,"attempting a read access using <102235> at alloc26447[0x8], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",FALSE
31,bzip2,0.4.4,read::tests::qc,Undefined Behavior,"attempting a read access using <117607> at alloc29541[0x8], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",FALSE
31,bzip2,0.4.4,read::tests::qc_partial,Undefined Behavior,"attempting a read access using <254071> at alloc58943[0x8], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",FALSE
31,bzip2,0.4.4,read::tests::self_terminating,Undefined Behavior,"attempting a read access using <102105> at alloc26422[0x8], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",FALSE
31,bzip2,0.4.4,read::tests::smoke,Undefined Behavior,"attempting a read access using <101842> at alloc26304[0x8], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",FALSE
31,bzip2,0.4.4,read::tests::smoke2,Undefined Behavior,"attempting a read access using <101855> at alloc26305[0x8], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",FALSE
31,bzip2,0.4.4,read::tests::smoke3,Undefined Behavior,"attempting a read access using <101933> at alloc26342[0x8], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",FALSE
29,bzip2,0.4.4,read::tests::zero_length_read_at_eof,Undefined Behavior,"attempting a read access using <101958> at alloc26340[0x8], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",FALSE
31,bzip2,0.4.4,read::tests::zero_length_read_with_data,Undefined Behavior,"attempting a read access using <102222> at alloc26441[0x8], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",FALSE
31,bzip2,0.4.4,write::tests::qc,Undefined Behavior,"attempting a read access using <114277> at alloc29058[0x8], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",FALSE
31,bzip2,0.4.4,write::tests::qc_partial,Undefined Behavior,"attempting a read access using <256434> at alloc59508[0x8], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",FALSE
31,bzip2,0.4.4,write::tests::smoke,Undefined Behavior,"attempting a read access using <101891> at alloc26346[0x8], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",FALSE
29,bzip2,0.4.4,write::tests::write_empty,Undefined Behavior,"attempting a read access using <101191> at alloc26148[0x8], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",FALSE
32,carbon-dump,1.2.2,sublime::main,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x10[noalloc] is a dangling pointer (it has no provenance),FALSE
33,cashu,0.0.2,mint::test::becdh,LLI interoperation error,Rust type mismatch,LLI interoperation error: Rust type mismatch: cannot convert a Rust value of type i32 to an LLVM value of type i64.,FALSE
35,cat_solver,0.1.0,tests::bad_limit,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
35,cat_solver,0.1.0,tests::conflict_limit,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
35,cat_solver,0.1.0,tests::decision_limit,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
35,cat_solver,0.1.0,tests::moving,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
37,chmlib-sys,1.0.0,open_example_file,Test Failed,NA,"test failed, to rerun pass `--test smoke_test`",FALSE
38,cifar_10_loader,0.2.0,test::test_cifar_10_loader_rs,Undefined Behavior,"trying to retag from <9726700> for Unique permission at alloc1777703[0x0], but that tag does not exist in the borrow stack for this location","Undefined Behavior: trying to retag from <> for Unique permission at alloc[0x0], but that tag does not exist in the borrow stack for this location",FALSE
41,cita-snappy,0.1.5,tests::compress_and_decompress,Undefined Behavior,"attempting a write access using <98264> at alloc25424[0x3], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a write access using <> at alloc[0x3], but that tag does not exist in the borrow stack for this location",FALSE
40,cita-snappy,0.1.5,tests::decompress_error,Undefined Behavior,"attempting a write access using <98310> at alloc25419[0x0], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a write access using <> at alloc[0x0], but that tag does not exist in the borrow stack for this location",TRUE
39,cita-snappy,0.1.5,tests::valid,Undefined Behavior,"attempting a write access using <98035> at alloc25352[0x0], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a write access using <> at alloc[0x0], but that tag does not exist in the borrow stack for this location",FALSE
42,clickhouse-driver-cthrs,0.1.1,tests::test_hash_128,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE
44,clickhouse-driver-lz4,0.1.0,test::test_compression,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE
43,clickhouse-driver-lz4,0.1.0,test::test_decompression,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
45,cpclib-asm,0.7.0,lzclose,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7f7b43681868[noalloc] is a dangling pointer (it has no provenance),FALSE
46,cpp_std,0.1.1,vector_as_mut_slice,Undefined Behavior,"attempting a read access using <97133> at alloc25121[0x1], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x1], but that tag does not exist in the borrow stack for this location",FALSE
47,cpp_std,0.1.1,vector_from_slice,Undefined Behavior,"attempting a read access using <97196> at alloc25093[0x1], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x1], but that tag does not exist in the borrow stack for this location",FALSE
48,cpp_std,0.1.1,vector_push_pop_slice,Undefined Behavior,"attempting a read access using <97109> at alloc25101[0x1], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x1], but that tag does not exist in the borrow stack for this location",FALSE
49,crypto_pimitives,0.1.1,aesni_test::aesni_192_key_expansion_test,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 24, so pointer to 8 bytes starting at offset 24 is out-of-bounds",FALSE
50,ctaes-sys,0.1.0,tests::aes_gcm_decrypt_test_vectors,Undefined Behavior,constructing invalid value at .value.data.parent1.parent1.parent1.data.0[0],"Undefined Behavior: constructing invalid value at .value.data.parent1.parent1.parent1.data.0[0]: encountered uninitialized memory, but expected an integer",FALSE
50,ctaes-sys,0.1.0,tests::aes_gcm_encrypt_test_vectors,Undefined Behavior,constructing invalid value at .value.data.parent1.parent1.parent1.data.0[0],"Undefined Behavior: constructing invalid value at .value.data.parent1.parent1.parent1.data.0[0]: encountered uninitialized memory, but expected an integer",FALSE
51,datafusion,31.0.0,datasource::physical_plan::json::tests::nd_json_exec_file_mixed_order_projection::case_3,Undefined Behavior,"attempting a read access using <884139> at alloc222747[0x8], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",FALSE
52,datafusion,31.0.0,datasource::physical_plan::json::tests::nd_json_exec_file_mixed_order_projection::case_4,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE
51,datafusion,31.0.0,datasource::physical_plan::json::tests::nd_json_exec_file_projection::case_3,Undefined Behavior,"attempting a read access using <884134> at alloc222702[0x8], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",FALSE
52,datafusion,31.0.0,datasource::physical_plan::json::tests::nd_json_exec_file_projection::case_4,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE
51,datafusion,31.0.0,datasource::physical_plan::json::tests::nd_json_exec_file_with_missing_column::case_3,Undefined Behavior,"attempting a read access using <883184> at alloc222423[0x8], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",FALSE
52,datafusion,31.0.0,datasource::physical_plan::json::tests::nd_json_exec_file_with_missing_column::case_4,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE
51,datafusion,31.0.0,datasource::physical_plan::json::tests::nd_json_exec_file_without_projection::case_3,Undefined Behavior,"attempting a read access using <883532> at alloc222532[0x8], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",FALSE
52,datafusion,31.0.0,datasource::physical_plan::json::tests::nd_json_exec_file_without_projection::case_4,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE
51,datafusion,31.0.0,datasource::physical_plan::json::tests::test_chunked_json::case_3::chunk_size_1_10,Undefined Behavior,"attempting a read access using <877201> at alloc220850[0x8], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",FALSE
51,datafusion,31.0.0,datasource::physical_plan::json::tests::test_chunked_json::case_3::chunk_size_2_20,Undefined Behavior,"attempting a read access using <876705> at alloc220699[0x8], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",FALSE
51,datafusion,31.0.0,datasource::physical_plan::json::tests::test_chunked_json::case_3::chunk_size_3_30,Undefined Behavior,"attempting a read access using <877201> at alloc220850[0x8], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",FALSE
51,datafusion,31.0.0,datasource::physical_plan::json::tests::test_chunked_json::case_3::chunk_size_4_40,Undefined Behavior,"attempting a read access using <877196> at alloc220841[0x8], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",FALSE
52,datafusion,31.0.0,datasource::physical_plan::json::tests::test_chunked_json::case_4::chunk_size_1_10,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE
52,datafusion,31.0.0,datasource::physical_plan::json::tests::test_chunked_json::case_4::chunk_size_2_20,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE
52,datafusion,31.0.0,datasource::physical_plan::json::tests::test_chunked_json::case_4::chunk_size_3_30,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE
52,datafusion,31.0.0,datasource::physical_plan::json::tests::test_chunked_json::case_4::chunk_size_4_40,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE
62,dec,0.4.8,decnum_raw_parts,Undefined Behavior,constructing invalid value at .value.lsu[6],"Undefined Behavior: constructing invalid value at .value.lsu[6]: encountered uninitialized memory, but expected an integer",FALSE
