mode,crate_name,version,test_name,errored_in,error_type_stack,error_type_tree,actual_failure,exit_signal_no
Baseline,h3o,0.4.0,h3::edge_length_rads::pentagon_res10,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::edge_length_rads::pentagon_res11,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::edge_length_rads::pentagon_res12,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::edge_length_rads::pentagon_res13,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::edge_length_rads::pentagon_res14,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::edge_length_rads::pentagon_res15,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::edge_length_rads::pentagon_res2,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::edge_length_rads::pentagon_res3,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::edge_length_rads::pentagon_res4,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::edge_length_rads::pentagon_res5,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::edge_length_rads::pentagon_res6,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::edge_length_rads::pentagon_res7,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::edge_length_rads::pentagon_res8,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::edge_length_rads::pentagon_res9,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::get_directed_edge_destination::exhaustive_res0,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::get_directed_edge_destination::exhaustive_res1,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::get_directed_edge_destination::exhaustive_res2,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::get_directed_edge_destination::hexagon,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::get_directed_edge_destination::pentagon,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::get_icosahedron_faces::hexagon_crossing_faces,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::get_icosahedron_faces::hexagon_with_edge_vertices,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::grid_disk::exhaustive_res0,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::grid_disk::exhaustive_res1,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::grid_disk::exhaustive_res2,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::grid_disk_distances::exhaustive_res0,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::grid_disk_distances::exhaustive_res1,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::grid_disk_distances::exhaustive_res2,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::grid_disk_distances_safe::exhaustive_res0,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::grid_disk_distances_safe::exhaustive_res1,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::grid_disk_distances_safe::exhaustive_res2,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::grid_disk_distances_unsafe::exhaustive_res1,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::grid_disk_distances_unsafe::exhaustive_res2,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::grid_disk_unsafe::exhaustive_res1,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::grid_disk_unsafe::exhaustive_res2,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::grid_distance::exhaustive_res0,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::grid_distance::exhaustive_res1,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::grid_distance::exhaustive_res2,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::grid_path_cells_size::exhaustive_res0,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::grid_path_cells_size::exhaustive_res1,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::grid_path_cells_size::exhaustive_res2,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::grid_ring_unsafe::exhaustive_res1,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::grid_ring_unsafe::exhaustive_res2,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::is_valid_vertex::hexagon_vertex0,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::is_valid_vertex::hexagon_vertex5,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::is_valid_vertex::valid,Both,Test Failed,Test Failed,TRUE,NA
Baseline,h3o,0.4.0,h3::local_ij_to_cell::exhaustive_res0,Both,Test Failed,Test Failed,TRUE,NA
Baseline,p256k1,5.4.1,field::tests::add,Both,Test Failed,Test Failed,FALSE,9
Baseline,p256k1,5.4.1,field::tests::mul,Both,Test Failed,Test Failed,FALSE,9
Baseline,p256k1,5.4.1,field::tests::mul_assign,Both,Test Failed,Test Failed,FALSE,9
Baseline,p256k1,5.4.1,field::tests::sub,Both,Test Failed,Test Failed,FALSE,9
Baseline,p256k1,5.4.1,scalar::tests::add,Both,Test Failed,Test Failed,FALSE,9
Baseline,p256k1,5.4.1,scalar::tests::mul,Both,Test Failed,Test Failed,FALSE,9
Baseline,p256k1,5.4.1,scalar::tests::sub,Both,Test Failed,Test Failed,FALSE,9
Baseline,datafusion,31.0.0,physical_plan::filter::tests::test_filter_statistics_multiple_columns,Both,Test Failed,Test Failed,TRUE,NA
Baseline,paq,1.0.1,it_hashes_directory,Both,Unsupported Operation,Test Failed,FALSE,NA
Baseline,paq,1.0.1,it_hashes_directory_absolute_symlink_without_following,Both,Unsupported Operation,Test Failed,FALSE,NA
Baseline,paq,1.0.1,it_hashes_directory_files_consistently,Both,Unsupported Operation,Test Failed,FALSE,NA
Baseline,paq,1.0.1,it_hashes_directory_from_any_path,Both,Unsupported Operation,Test Failed,FALSE,NA
Baseline,paq,1.0.1,it_hashes_directory_relative_symlink_without_following,Both,Unsupported Operation,Test Failed,FALSE,NA
Baseline,paq,1.0.1,it_hashes_directory_with_file,Both,Unsupported Operation,Test Failed,FALSE,NA
Baseline,paq,1.0.1,it_hashes_directory_with_ignored_file,Both,Undefined Behavior,Test Failed,FALSE,NA
Baseline,paq,1.0.1,it_hashes_directory_with_ignored_subdirectory,Both,Unsupported Operation,Test Failed,FALSE,NA
Baseline,paq,1.0.1,it_hashes_single_file,Both,Unsupported Operation,Test Failed,FALSE,NA
Baseline,trussed,0.1.0,tests::aead,Both,Test Failed,Test Failed,TRUE,NA
Baseline,volcasample-sys,0.1.0,tests::convert_pattern_data,Both,Test Failed,Test Failed,FALSE,9
Baseline,snarkvm-parameters,0.14.6,testnet3::test_powers_of_beta_27_usrs,Both,Test Failed,Test Failed,FALSE,9
Baseline,snarkvm-parameters,0.14.6,testnet3::test_shifted_powers_of_beta_27_usrs,Both,Test Failed,Test Failed,FALSE,9
Baseline,softfloat-wrapper,0.3.4,f128::tests::f128_compare,Both,Test Failed,Test Failed,FALSE,11
Baseline,softfloat-wrapper,0.3.4,f128::tests::f128_signaling,Both,Test Failed,Test Failed,FALSE,6
Baseline,softfloat-wrapper-riscv,0.1.0,f128::tests::f128_compare,Both,Test Failed,Test Failed,FALSE,6
Baseline,download_sdl2,0.0.3,download_test,Both,Unsupported Operation,Test Failed,FALSE,NA
Zeroed,pqcrypto-qtesla,0.1.1,qteslapi::test::test_sign,Both,Test Failed,Test Failed,FALSE,9
Zeroed,pqcrypto-sphincsplus,0.6.4,sphincsshake256256frobust::test::test_sign,Both,Test Failed,Unsupported Operation,FALSE,9
Zeroed,pqcrypto-sphincsplus,0.6.4,sphincsshake256128frobust::test::test_sign,Both,Test Failed,Unsupported Operation,FALSE,9
Zeroed,satisfactory-save-file,0.2.0,tests::parse,Both,Test Failed,Test Failed,FALSE,9
Zeroed,pqcrypto-mqdss,0.3.0,mqdss48::test::test_sign,Both,Test Failed,Undefined Behavior,FALSE,9
Zeroed,pqcrypto-sphincsplus,0.6.4,sphincsharaka128ssimple::test::test_sign,Both,Test Failed,Unsupported Operation,FALSE,9
Zeroed,pqcrypto-sphincsplus,0.6.4,sphincssha256256ssimple::test::test_sign_detached,Stack,Test Failed,Passed/Timeout,FALSE,9
Zeroed,pqcrypto-sphincsplus,0.6.4,sphincsharaka192srobust::test::test_sign,Stack,Test Failed,Passed/Timeout,FALSE,9
Zeroed,parquet,46.0.0,compression::tests::test_codec_lz4_raw,Stack,Test Failed,Passed/Timeout,FALSE,9
Zeroed,pqcrypto-mqdss,0.3.0,mqdss64::test::test_sign_detached,Both,Test Failed,Test Failed,FALSE,9
Zeroed,pqcrypto-qtesla,0.1.1,qteslapiii::test::test_sign,Both,Test Failed,Test Failed,FALSE,9
Zeroed,pqcrypto-falcon-wasi,0.2.14,falcon512::test::test_sign,Both,Unsupported Operation,Test Failed,FALSE,NA
Zeroed,pqcrypto-sphincsplus,0.6.4,ffi::test_sphincsharaka128frobust_clean::test_ffi,Stack,Test Failed,Passed/Timeout,FALSE,9
Zeroed,pqcrypto-sphincsplus,0.6.4,sphincssha256128frobust::test::test_sign,Stack,Test Failed,Passed/Timeout,FALSE,9
Zeroed,pqcrypto-sphincsplus,0.6.4,sphincssha256128ssimple::test::test_sign_detached,Both,Test Failed,Unsupported Operation,FALSE,9
Zeroed,pqcrypto-dilithium,0.4.6,dilithium2::test::test_sign_detached,Both,Test Failed,Unsupported Operation,FALSE,9
Zeroed,pqcrypto-sphincsplus,0.6.4,ffi::test_sphincssha256128frobust_clean::test_ffi,Both,Test Failed,Test Failed,FALSE,9
Zeroed,pqcrypto-falcon-wasi,0.2.14,falcon1024::test::test_sign_detached,Both,Test Failed,Unsupported Operation,FALSE,9
Zeroed,pqcrypto-sphincsplus,0.6.4,sphincssha256192frobust::test::test_sign,Both,Test Failed,Test Failed,FALSE,9
Zeroed,pqcrypto-sphincsplus,0.6.4,sphincsshake256192frobust::test::test_sign,Both,Test Failed,Unsupported Operation,FALSE,9
Zeroed,pqcrypto-sphincsplus,0.6.4,sphincsharaka256ssimple::test::test_sign_detached,Stack,Test Failed,Passed/Timeout,FALSE,9
Zeroed,snarkvm-parameters,0.14.6,testnet3::test_powers_of_beta_26_usrs,Stack,Test Failed,Passed/Timeout,FALSE,9
Zeroed,pqcrypto-mqdss,0.3.0,ffi::test_mqdss64_clean::test_ffi,Both,Undefined Behavior,Test Failed,FALSE,NA
Zeroed,pqcrypto-sphincsplus,0.6.4,sphincsshake256128ssimple::test::test_sign_detached,Both,Test Failed,Unsupported Operation,FALSE,9
Zeroed,pqcrypto-dilithium,0.4.6,ffi::test_dilithium3_clean::test_ffi,Both,Test Failed,Test Failed,FALSE,9
Zeroed,pqcrypto-sphincsplus,0.6.4,sphincssha256192fsimple::test::test_sign,Both,Test Failed,Unsupported Operation,FALSE,9
Zeroed,klu-rs,0.4.0,test::solve_real_linear_system,Both,Test Failed,Undefined Behavior,FALSE,9
Zeroed,pqcrypto-qtesla,0.1.1,ffi::test_qteslapi_clean::test_ffi,Both,Test Failed,Test Failed,FALSE,9
Zeroed,tpnote-lib,0.22.8,highlight::test::test_rust_source,Both,Test Failed,Stack Overflow,FALSE,9
Zeroed,p256k1,5.4.1,field::tests::pow,Both,Test Failed,Test Failed,FALSE,9
Zeroed,pqcrypto-dilithium,0.4.6,ffi::test_dilithium5_clean::test_ffi,Both,Unsupported Operation,Test Failed,FALSE,NA
Zeroed,pqcrypto-sphincsplus,0.6.4,sphincssha256256frobust::test::test_sign_detached,Both,Test Failed,Unsupported Operation,FALSE,9
Zeroed,pqcrypto-dilithium,0.4.6,dilithium5::test::test_sign_detached,Both,Test Failed,Unsupported Operation,FALSE,9
Zeroed,pqcrypto-sphincsplus,0.6.4,sphincssha256128frobust::test::test_sign_detached,Both,Unsupported Operation,Test Failed,FALSE,NA
Zeroed,pqcrypto-sphincsplus,0.6.4,sphincsharaka192ssimple::test::test_sign,Both,Test Failed,Unsupported Operation,FALSE,9
Zeroed,snarkvm-parameters,0.14.6,testnet3::test_shifted_powers_of_beta_26_usrs,Stack,Test Failed,Passed/Timeout,FALSE,9
Zeroed,h3o,0.4.0,h3::get_directed_edge_destination::exhaustive_res2,Stack,Test Failed,Passed/Timeout,FALSE,9
Zeroed,pqcrypto-sphincsplus,0.6.4,ffi::test_sphincsshake256256fsimple_clean::test_ffi,Stack,Test Failed,Passed/Timeout,FALSE,9
Zeroed,pqcrypto-sphincsplus,0.6.4,sphincsshake256128srobust::test::test_sign_detached,Stack,Test Failed,Passed/Timeout,FALSE,9
Zeroed,tpnote-lib,0.22.8,highlight::test::test_indented,Both,Test Failed,Stack Overflow,FALSE,9
Zeroed,pqcrypto-dilithium,0.4.6,dilithium3::test::test_sign,Both,Test Failed,Unsupported Operation,FALSE,9
Zeroed,pqcrypto-sphincsplus,0.6.4,ffi::test_sphincsharaka128ssimple_clean::test_ffi,Stack,Test Failed,Passed/Timeout,FALSE,9
Zeroed,tab-hash,0.3.0,simple32_vs_reference_implementation,Both,Test Failed,Test Failed,FALSE,9
Zeroed,clickhouse-driver-lz4,0.1.0,test::test_compression,Both,Test Failed,Test Failed,FALSE,9
Zeroed,pqcrypto-qtesla,0.1.1,ffi::test_qteslapiii_clean::test_ffi,Both,Undefined Behavior,Test Failed,FALSE,NA
Zeroed,pqcrypto-sphincsplus,0.6.4,sphincsshake256256srobust::test::test_sign_detached,Both,Test Failed,Unsupported Operation,FALSE,9
Zeroed,pqcrypto-sphincsplus,0.6.4,ffi::test_sphincssha256192srobust_clean::test_ffi,Both,Test Failed,Unsupported Operation,FALSE,9
Zeroed,pqcrypto-dilithium,0.4.6,dilithium5::test::test_sign,Both,Unsupported Operation,Test Failed,FALSE,NA
Zeroed,pqcrypto-sphincsplus,0.6.4,ffi::test_sphincsshake256128ssimple_clean::test_ffi,Both,Test Failed,Unsupported Operation,FALSE,9
Zeroed,pqcrypto-sphincsplus,0.6.4,sphincsshake256256srobust::test::test_sign,Both,Test Failed,Unsupported Operation,FALSE,9
Zeroed,pqcrypto-mqdss,0.3.0,ffi::test_mqdss48_clean::test_ffi,Both,Test Failed,Undefined Behavior,FALSE,9
Zeroed,pqcrypto-sphincsplus,0.6.4,sphincsshake256192fsimple::test::test_sign_detached,Both,Test Failed,Unsupported Operation,FALSE,9
Zeroed,pqcrypto-sphincsplus,0.6.4,ffi::test_sphincsshake256128srobust_clean::test_ffi,Both,Test Failed,Unsupported Operation,FALSE,9
Zeroed,pqcrypto-sphincsplus,0.6.4,sphincsharaka128fsimple::test::test_sign_detached,Stack,Test Failed,Passed/Timeout,FALSE,9
Zeroed,pqcrypto-dilithium,0.4.6,dilithium2aes::test::test_sign,Both,Test Failed,Unsupported Operation,FALSE,9
Zeroed,pqcrypto-falcon,0.2.10,falcon512::test::test_sign,Both,Unsupported Operation,Test Failed,FALSE,NA
Zeroed,rgb2ansi256,0.1.1,tests::validate_with_ansi_colours,Stack,Test Failed,Passed/Timeout,FALSE,9
Zeroed,pqcrypto-dilithium,0.4.6,ffi::test_dilithium2_clean::test_ffi,Both,Test Failed,Unsupported Operation,FALSE,9
Zeroed,pqcrypto-sphincsplus,0.6.4,ffi::test_sphincssha256256ssimple_clean::test_ffi,Both,Test Failed,Unsupported Operation,FALSE,9
Zeroed,pqcrypto-mqdss,0.3.0,mqdss48::test::test_sign_detached,Both,Test Failed,Test Failed,FALSE,9
Zeroed,flips-sys,0.2.1,ips::tests::check_create_and_apply,Stack,Test Failed,Passed/Timeout,FALSE,9
Zeroed,tab-hash,0.3.0,twisted64_vs_reference_implementation,Both,Test Failed,Test Failed,FALSE,9
Zeroed,pqcrypto-sphincsplus,0.6.4,sphincssha256192ssimple::test::test_sign_detached,Both,Unsupported Operation,Test Failed,FALSE,NA
Zeroed,clickhouse-driver-cthrs,0.1.1,tests::test_hash_128,Both,Test Failed,Test Failed,FALSE,9
Zeroed,p256k1,5.4.1,scalar::tests::mul_assign,Stack,Test Failed,Passed/Timeout,FALSE,9
Zeroed,pqcrypto-falcon-wasi,0.2.14,ffi::test_falcon1024_clean::test_ffi,Both,Test Failed,Unsupported Operation,FALSE,9
Zeroed,pqcrypto-falcon-wasi,0.2.14,falcon1024::test::test_sign,Both,Unsupported Operation,Test Failed,FALSE,NA
Zeroed,tab-hash,0.3.0,simple64_vs_reference_implementation,Both,Test Failed,Test Failed,FALSE,9
Zeroed,pqcrypto-sphincsplus,0.6.4,ffi::test_sphincsharaka192srobust_clean::test_ffi,Both,Test Failed,Unsupported Operation,FALSE,9
Zeroed,pqcrypto-sphincsplus,0.6.4,ffi::test_sphincssha256256fsimple_clean::test_ffi,Both,Test Failed,Unsupported Operation,FALSE,9
Zeroed,pqcrypto-sphincsplus,0.6.4,ffi::test_sphincssha256192fsimple_clean::test_ffi,Stack,Test Failed,Passed/Timeout,FALSE,9
Zeroed,pqcrypto-sphincsplus,0.6.4,sphincsshake256192srobust::test::test_sign,Both,Test Failed,Unsupported Operation,FALSE,9
Zeroed,pqcrypto-falcon,0.2.10,ffi::test_falcon512_clean::test_ffi,Both,Unsupported Operation,Test Failed,FALSE,NA
Zeroed,pqcrypto-sphincsplus,0.6.4,sphincsharaka128frobust::test::test_sign,Both,Test Failed,Unsupported Operation,FALSE,9
Zeroed,parquet,46.0.0,compression::tests::test_codec_lz4,Stack,Test Failed,Passed/Timeout,FALSE,9
Zeroed,pqcrypto-sphincsplus,0.6.4,sphincsharaka256srobust::test::test_sign,Both,Test Failed,Unsupported Operation,FALSE,9
Zeroed,p256k1,5.4.1,point::tests::test_bip_340,Both,Undefined Behavior,Test Failed,FALSE,NA
Zeroed,pqcrypto-qtesla,0.1.1,qteslapi::test::test_sign_detached,Both,Undefined Behavior,Test Failed,FALSE,NA
Zeroed,pqcrypto-sphincsplus,0.6.4,ffi::test_sphincssha256128ssimple_clean::test_ffi,Both,Test Failed,Unsupported Operation,FALSE,9
Uninit,p256k1,5.4.1,field::tests::pow,Stack,Test Failed,Passed/Timeout,FALSE,9
Uninit,rgb2ansi256,0.1.1,tests::validate_with_ansi_colours,Both,Test Failed,Test Failed,FALSE,9
Uninit,p256k1,5.4.1,scalar::tests::mul_assign,Both,Test Failed,Test Failed,FALSE,9
Uninit,h3o,0.4.0,h3::cell_to_child_pos::exhaustive_res0,Stack,Test Failed,Passed/Timeout,FALSE,9
