error_id,crate_name,version,test_name,error_type,error_text,full_error_text,passed_in_tree_borrows,num_occurrences
198,lsmlite-rs,0.1.0,threads::tests::create_background_thread_checkpointer,Undefined Behavior,"attempting a write access using <116981> at alloc34635[0xe8], but that tag only grants SharedReadOnly permission for this location","Undefined Behavior: attempting a write access using <> at alloc[0xe8], but that tag only grants SharedReadOnly permission for this location",FALSE,3
201,lucet-runtime-internals,0.6.1,context::tests::c_child::call_child,Undefined Behavior,constructing invalid value at .value.__val[0],"Undefined Behavior: constructing invalid value at .value.__val[0]: encountered uninitialized memory, but expected an integer",FALSE,13
206,lzokay-native,0.1.0,tests::check_lzo_decompress_compatibility,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE,1
207,lzzzz,1.0.4,lz4f::dictionary::tests::create_dictionary,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE,1
211,mikktspace-sys,0.1.1,cube_tangents_should_equal_reference_values,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,1
212,milagro-crypto,0.1.14,ff::overloading::tests::mul_assign_test,Undefined Behavior,"attempting a read access using <127525> at alloc29962[0x1], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x1], but that tag does not exist in the borrow stack for this location",FALSE,26
213,milagro-crypto,0.1.14,big::tests::test_big_random,Undefined Behavior,"attempting a read access using <115526> at alloc29953[0x1], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x1], but that tag does not exist in the borrow stack for this location",FALSE,7
214,milagro-crypto,0.1.14,ff::tests::test_ff_io_sized_hex,Undefined Behavior,"attempting a read access using <161090> at alloc30010[0x60], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x60], but that tag does not exist in the borrow stack for this location",FALSE,1
215,milagro-crypto,0.1.14,big::tests::test_bytes,Undefined Behavior,"attempting a write access using <115464> at alloc30025[0x0], but that tag only grants SharedReadOnly permission for this location","Undefined Behavior: attempting a write access using <> at alloc[0x0], but that tag only grants SharedReadOnly permission for this location",FALSE,1
216,milagro-crypto,0.1.14,big::tests::test_big_hex_io,Undefined Behavior,"attempting a write access using <136341> at alloc29953[0x0], but that tag only grants SharedReadOnly permission for this location","Undefined Behavior: attempting a write access using <> at alloc[0x0], but that tag only grants SharedReadOnly permission for this location",FALSE,3
217,milagro-crypto,0.1.14,hash::tests::test_sha256,Undefined Behavior,"attempting a write access using <115510> at alloc30005[0x1], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a write access using <> at alloc[0x1], but that tag does not exist in the borrow stack for this location",TRUE,2
218,milagro-crypto,0.1.14,ecp2::tests::test_ecp2_hex_io,Undefined Behavior,"attempting a write access using <185834> at alloc34294[0x8], but that tag only grants SharedReadOnly permission for this location","Undefined Behavior: attempting a write access using <> at alloc[0x8], but that tag only grants SharedReadOnly permission for this location",FALSE,1
220,minilzo-rs,0.6.0,tests::test_lzo_cmpress,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE,1
222,minimap2,0.1.16+minimap2.2.26,tests::create_index,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE,6
223,minimap2-sys,0.1.16+minimap2.2.26,tests::set_index_and_mapping_opts,Undefined Behavior,constructing invalid value at .value.k,"Undefined Behavior: constructing invalid value at .value.k: encountered uninitialized memory, but expected an integer",FALSE,1
224,minimp3_ex-sys,0.1.1,open_dummy_cb,memory leaked,"alloc24813 (C heap, size","memory leaked: alloc (C heap, size: 131072, align: 16), allocated here:",FALSE,1
227,molconv,0.2.0,xdr::c_abi::xdrfile_trr::tests::test_read_trr_nframes,Undefined Behavior,"attempting a write access using <104031> at alloc26965[0x0], but that tag only grants SharedReadOnly permission for this location","Undefined Behavior: attempting a write access using <> at alloc[0x0], but that tag only grants SharedReadOnly permission for this location",FALSE,1
228,molconv,0.2.0,xdr::c_abi::xdrfile_xtc::tests::test_read_xtc_nframes,Undefined Behavior,"attempting a write access using <104031> at alloc26965[0x0], but that tag only grants SharedReadOnly permission for this location","Undefined Behavior: attempting a write access using <> at alloc[0x0], but that tag only grants SharedReadOnly permission for this location",FALSE,1
233,ms5837,0.2.1,tests::crc4,Undefined Behavior,"attempting a write access using <97601> at alloc25189[0x0], but that tag only grants SharedReadOnly permission for this location","Undefined Behavior: attempting a write access using <> at alloc[0x0], but that tag only grants SharedReadOnly permission for this location",FALSE,1
237,mtpng,0.3.5,encoder::tests::create_and_state,Undefined Behavior,"trying to retag from <274806> for SharedReadOnly permission at alloc60208[0x0], but that tag does not exist in the borrow stack for this location","Undefined Behavior: trying to retag from <> for SharedReadOnly permission at alloc[0x0], but that tag does not exist in the borrow stack for this location",FALSE,2
239,mugle_secp256k1zkp,0.7.12,tests::signature_lax_der,Undefined Behavior,constructing invalid value at .value.0[0],"Undefined Behavior: constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",FALSE,1
240,mugle_secp256k1zkp,0.7.12,key::test::test_bad_deserialize,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE,2
241,mugle_secp256k1zkp,0.7.12,key::test::test_pubkey_from_slice_bad_context,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,1
242,mugle_secp256k1zkp,0.7.12,aggsig::tests::test_aggsig_batch,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,53
259,openh264-sys2,0.4.1,can_call_simple_decoder,LLI interoperation error,LLVM field count mismatch,"LLI interoperation error: LLVM field count mismatch: cannot convert an LLVM value with 2 fields to a Rust value of type openh264_sys2::_tagVersion, which has 4 fields.",FALSE,1
260,p256k1,5.4.1,point::tests::base58,Undefined Behavior,"attempting a write access using <295555> at alloc192579[0x2], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a write access using <> at alloc[0x2], but that tag does not exist in the borrow stack for this location",TRUE,2
261,p256k1,5.4.1,keys::tests::xonlykey_point,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7f1bdb2f2860[noalloc] is a dangling pointer (it has no provenance),FALSE,1
262,p256k1,5.4.1,keys::tests::pubkey_serde,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7f2f4717d860[noalloc] is a dangling pointer (it has no provenance),FALSE,1
263,p256k1,5.4.1,keys::tests::keypair,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7fb1cbdb0860[noalloc] is a dangling pointer (it has no provenance),FALSE,1
264,p256k1,5.4.1,schnorr::tests::signature,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7fb3f8c73860[noalloc] is a dangling pointer (it has no provenance),FALSE,1
265,p256k1,5.4.1,keys::tests::xonlykey_serde,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7fed0782a860[noalloc] is a dangling pointer (it has no provenance),FALSE,1
266,p256k1,5.4.1,field::tests::mul,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE,6
267,paq,1.0.1,it_hashes_directory_with_ignored_file,Undefined Behavior,deallocating while item [SharedReadOnly for <136177>] is strongly protected by call 59397,Undefined Behavior: deallocating while item [SharedReadOnly for <>] is strongly protected by call 59397,FALSE,1
268,parity-secp256k1,0.7.0,ecdh::tests::ecdh,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,31
269,parity-secp256k1,0.7.0,key::test::test_pubkey_from_slice_bad_context,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,1
271,pcre2,0.2.4,bytes::tests::capture_names,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE,5
274,picohttpparser-sys,1.0.0,error,LLI interoperation error,Unsupported LLVM Type,LLI interoperation error: Unsupported LLVM Type: <16 x i8>,FALSE,4
275,picohttpparser-sys,1.0.0,incomplete_1,Undefined Behavior,"attempting a write access using <105285> at alloc27023[0x98], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a write access using <> at alloc[0x98], but that tag does not exist in the borrow stack for this location",FALSE,18
276,picohttpparser-sys,1.0.0,accept_msb_chars,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 5, so pointer to 8 bytes starting at offset 0 is out-of-bounds",FALSE,18
278,plthook,0.2.2,tests::use_c_api,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7f821c1a6110[noalloc] is a dangling pointer (it has no provenance),FALSE,1
279,plthook,0.2.2,tests::replace_atof,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7f96c65e4110[noalloc] is a dangling pointer (it has no provenance),FALSE,1
280,pqcrypto-mqdss,0.3.0,ffi::test_mqdss48_clean::test_ffi,Undefined Behavior,incorrect number of arguments for `getrandom` syscall,"Undefined Behavior: incorrect number of arguments for `getrandom` syscall: got 1, expected at least 4",FALSE,3
281,pqcrypto-mqdss,0.3.0,mqdss64::test::test_sign,Undefined Behavior,incorrect number of arguments for `getrandom` syscall,"Undefined Behavior: incorrect number of arguments for `getrandom` syscall: got 1, expected at least 4",FALSE,2
282,pqcrypto-newhope,0.1.2,ffi::test_newhope1024cca_clean::test_ffi,Undefined Behavior,incorrect number of arguments for `getrandom` syscall,"Undefined Behavior: incorrect number of arguments for `getrandom` syscall: got 1, expected at least 4",FALSE,2
283,pqcrypto-newhope,0.1.2,ffi::test_newhope1024cpa_clean::test_ffi,Undefined Behavior,incorrect number of arguments for `getrandom` syscall,"Undefined Behavior: incorrect number of arguments for `getrandom` syscall: got 1, expected at least 4",FALSE,2
